query_bgc	target_gene_cluster_y	pident_mean	pident_median	pident_count	levenshtein_include_internal_nonortholog	levenshtein_only_orthologs	percent_of_query	jaccard	modscore	score	target_nucleotide_sequence	target_assembly	assembly	genus	species	family	order	class	phylum	superkingdom	start	end
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b4fdc710>	98.46000000000001	98.8	5	1.0	1.0	100	1.0	3.0	812.0	NZ_NNJF01000005.1	GCF_006372705.1	GCF_006372705.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	3170	48233
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b5221990>	98.36	98.8	5	1.0	1.0	100	1.0	3.0	808.0	NZ_NNHO01000003.1	GCF_006371685.1	GCF_006371685.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	206316	251464
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b4fe5510>	98.46000000000001	98.8	5	1.0	1.0	100	1.0	3.0	812.0	NZ_NNJG01000019.1	GCF_006372735.1	GCF_006372735.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	2942	40044
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c0398110>	98.38	98.8	5	1.0	1.0	100	1.0	3.0	811.0	NZ_MIUC01000077.1	GCF_001727545.1	GCF_001727545.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	193141	238464
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b4b25590>	98.6	98.8	5	1.0	1.0	100	1.0	3.0	810.0	NZ_NNQA01000037.1	GCF_006377265.1	GCF_006377265.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	49380	94530
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74219c8c8a90>	98.44	98.8	5	1.0	1.0	100	1.0	3.0	811.0	NZ_JAQBKL010000005.1	GCF_028616205.1	GCF_028616205.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	201996	247326
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74219cb2b9d0>	98.6	98.8	5	1.0	1.0	100	1.0	3.0	808.0	NZ_JAQBIL010000005.1	GCF_028615235.1	GCF_028615235.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	210262	255618
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x742198f55090>	98.53999999999999	98.8	5	1.0	1.0	100	1.0	3.0	809.0	NZ_JAUHGF010000001.1	GCF_031703045.1	GCF_031703045.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	1483097	1528271
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b509b8d0>	98.47999999999999	98.8	5	1.0	1.0	100	1.0	3.0	810.0	NZ_NNHU01000008.1	GCF_006371955.1	GCF_006371955.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	206838	252002
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74219c92d190>	98.64	98.8	5	1.0	1.0	100	1.0	3.0	815.0	NZ_JAQBKO010000006.1	GCF_028617205.1	GCF_028617205.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	202916	248078
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74218b404650>	98.12	98.8	5	1.0	1.0	100	1.0	3.0	810.0	NZ_CAJDZI010000001.1	GCF_903986865.1	GCF_903986865.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	483970	529119
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74219a7c91d0>	98.5	98.8	5	1.0	1.0	100	1.0	3.0	813.0	NZ_JALGSI010000005.1	GCF_030262995.1	GCF_030262995.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	196801	241953
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b50a23d0>	98.47999999999999	98.8	5	1.0	1.0	100	1.0	3.0	810.0	NZ_NNHW01000007.1	GCF_006371975.1	GCF_006371975.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	206838	252002
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b5dcda10>	98.36	98.8	5	1.0	1.0	100	1.0	3.0	810.0	NZ_SDKB01000001.1	GCF_004522045.1	GCF_004522045.1	Vibrio	Vibrio diabolicus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	1585012	1628761
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b4a6be10>	98.58	98.8	5	1.0	1.0	100	1.0	3.0	810.0	NZ_NNOW01000024.1	GCF_006376745.1	GCF_006376745.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	1	14181
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b4bfb210>	98.5	98.8	5	1.0	1.0	100	1.0	3.0	813.0	NZ_NNOM01000012.1	GCF_006375275.1	GCF_006375275.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	16068	61220
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b496c610>	98.22	98.8	5	1.0	1.0	100	1.0	3.0	810.0	NZ_NNPQ01000002.1	GCF_006377445.1	GCF_006377445.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	213159	258289
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c76e4890>	98.64	98.8	5	1.0	1.0	100	1.0	3.0	810.0	NZ_JNTB02000016.1	GCF_000707065.2	GCF_000707065.2	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	206099	251431
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74219fdfbc10>	98.5	98.8	5	1.0	1.0	100	1.0	3.0	813.0	NZ_JACENS010000006.1	GCF_024531175.1	GCF_024531175.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	208979	254132
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b4b1a550>	98.58	98.8	5	1.0	1.0	100	1.0	3.0	810.0	NZ_NNPP01000102.1	GCF_006377225.1	GCF_006377225.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	1	35861
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74219c7ad7d0>	98.38	98.8	5	1.0	1.0	100	1.0	3.0	811.0	NZ_JAQBLI010000001.1	GCF_028617525.1	GCF_028617525.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	3683	49016
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74219c7549d0>	98.38	98.8	5	1.0	1.0	100	1.0	3.0	811.0	NZ_JAQBKW010000003.1	GCF_028617285.1	GCF_028617285.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	203752	249085
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b4c12f90>	98.58	98.8	5	1.0	1.0	100	1.0	3.0	810.0	NZ_NNNY01000006.1	GCF_006375335.1	GCF_006375335.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	1	8592
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421bf6d0bd0>	98.4	98.8	5	1.0	1.0	100	1.0	3.0	810.0	NZ_CP019060.1	GCF_001951115.1	GCF_001951115.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	1584299	1629243
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421abf94910>	98.58	98.8	5	1.0	1.0	100	1.0	3.0	813.0	NZ_JACGLX010000003.1	GCF_014525225.1	GCF_014525225.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	1052651	1097897
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74219c7fb910>	98.6	98.8	5	1.0	1.0	100	1.0	3.0	811.0	NZ_JAQBLT010000001.1	GCF_028617705.1	GCF_028617705.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	855625	900762
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74219c8b1890>	98.3	98.7	5	1.0	1.0	100	1.0	3.0	806.0	NZ_JAQBKH010000004.1	GCF_028616195.1	GCF_028616195.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	204911	250248
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c75ed390>	98.6	98.7	5	1.0	1.0	100	1.0	3.0	810.0	NZ_JNTD02000015.1	GCF_000707685.2	GCF_000707685.2	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	17008	62290
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74219ddc9ed0>	98.64	98.7	5	1.0	1.0	100	1.0	3.0	818.0	NZ_JANFKY010000003.1	GCF_026537635.1	GCF_026537635.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	499782	544932
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b4c422d0>	98.44	98.7	5	1.0	1.0	100	1.0	3.0	805.0	NZ_NNLS01000032.1	GCF_006374125.1	GCF_006374125.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	15144	60317
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b6a273d0>	98.64	98.7	5	1.0	1.0	100	1.0	3.0	818.0	NZ_SCLW01000003.1	GCF_004028465.1	GCF_004028465.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	207451	252589
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421a2d2bd50>	98.56	98.7	5	1.0	1.0	100	1.0	3.0	809.0	NZ_JAKNOA010000216.1	GCF_022290935.1	GCF_022290935.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	47856	93005
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b4d588d0>	98.3	98.7	5	1.0	1.0	100	1.0	3.0	807.0	NZ_NNKU01000001.1	GCF_006373555.1	GCF_006373555.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	208266	253421
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74219c9f0350>	98.2	98.7	5	1.0	1.0	100	1.0	3.0	805.0	NZ_JAQBJI010000001.1	GCF_028615695.1	GCF_028615695.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	1556308	1601474
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c387c7d0>	98.52000000000001	98.5	5	1.0	1.0	100	1.0	3.0	810.0	NZ_QRSG01000001.1	GCF_006383355.1	GCF_006383355.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	396719	441867
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421a2d09150>	98.56	98.5	5	1.0	1.0	100	1.0	3.0	809.0	NZ_JAKNOH010000200.1	GCF_022290635.1	GCF_022290635.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	479218	524380
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x74219aa2d750>	98.52000000000001	98.5	5	1.0	1.0	100	1.0	3.0	809.0	NZ_JASKZO010000003.1	GCF_030238665.1	GCF_030238665.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	207066	252228
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b68ef990>	98.52000000000001	98.5	5	1.0	1.0	100	1.0	3.0	809.0	NZ_RQOA01000002.1	GCF_004121085.1	GCF_004121085.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	207558	252721
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c2dae0d0>	98.52000000000001	98.5	5	1.0	1.0	100	1.0	3.0	810.0	NZ_VRMX01000004.1	GCF_008039325.1	GCF_008039325.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	210435	255588
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c2d67910>	98.52000000000001	98.5	5	1.0	1.0	100	1.0	3.0	810.0	NZ_VRMO01000004.1	GCF_008039155.1	GCF_008039155.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	210435	255588
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c396f550>	98.24	98.5	5	1.0	1.0	100	1.0	3.0	807.0	NZ_QRRK01000007.1	GCF_006382625.1	GCF_006382625.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	47169	92319
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c2170510>	98.52000000000001	98.5	5	1.0	1.0	100	1.0	3.0	810.0	NZ_SZQY01000003.1	GCF_009389905.1	GCF_009389905.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	208093	234878
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b49e4210>	98.22	98.5	5	1.0	1.0	100	1.0	3.0	807.0	NZ_NNRG01000033.1	GCF_006378715.1	GCF_006378715.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	115	43394
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b4f7e350>	98.22	98.5	5	1.0	1.0	100	1.0	3.0	807.0	NZ_NNIV01000033.1	GCF_006372485.1	GCF_006372485.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	107	43386
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b50d7d10>	98.32000000000001	98.5	5	1.0	1.0	100	1.0	3.0	807.0	NZ_NNIJ01000013.1	GCF_006372095.1	GCF_006372095.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	206007	251167
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421cc6f3cd0>	98.2	98.5	5	1.0	1.0	100	1.0	3.0	809.0	NZ_KK020647.1	GCF_000558925.2	GCF_000558925.2	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	8421	52598
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c39f68d0>	98.52000000000001	98.5	5	1.0	1.0	100	1.0	3.0	810.0	NZ_QRSE01000003.1	GCF_006382975.1	GCF_006382975.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	208314	253467
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c2148bd0>	98.52000000000001	98.5	5	1.0	1.0	100	1.0	3.0	810.0	NZ_SZQX01000009.1	GCF_009389775.1	GCF_009389775.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	5584	50737
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c211dd90>	98.52000000000001	98.5	5	1.0	1.0	100	1.0	3.0	810.0	NZ_SZTI01000003.1	GCF_009391075.1	GCF_009391075.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	363283	408436
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c21275d0>	98.52000000000001	98.5	5	1.0	1.0	100	1.0	3.0	810.0	NZ_SZTJ01000003.1	GCF_009391115.1	GCF_009391115.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	16427	61580
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c2c3e390>	98.3	98.5	5	1.0	1.0	100	1.0	3.0	807.0	NZ_VRMQ01000001.1	GCF_008039905.1	GCF_008039905.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	1515134	1560288
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421cfe6edd0>	98.26	98.5	5	1.0	1.0	100	1.0	3.0	807.0	NZ_AWHT01000024.1	GCF_000489275.1	GCF_000489275.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	1	32500
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b0513710>	98.4	98.5	5	1.0	1.0	100	1.0	3.0	807.0	NZ_RPDA01000001.1	GCF_009738005.1	GCF_009738005.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	1650543	1695709
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421c21086d0>	98.52000000000001	98.5	5	1.0	1.0	100	1.0	3.0	810.0	NZ_SZTF01000022.1	GCF_009391035.1	GCF_009391035.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	32927	78080
BGC0000946	<socialgene.base.molbio.GeneCluster object at 0x7421b4acc810>	98.32000000000001	98.5	5	1.0	1.0	100	1.0	3.0	810.0	NZ_NNPH01000005.1	GCF_006376995.1	GCF_006376995.1	Vibrio	Vibrio parahaemolyticus	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota	Bacteria	146948	192107
